Node Number	X Location (m)	Y Location (m)	Z Location (m)	
8037	-3.7572e-002	-2.5344e-002	-2.571e-006	
8038	-3.7579e-002	-2.5286e-002	1.7181e-003	
8041	-3.9575e-002	-2.5288e-002	-2.5406e-006	
8042	-3.9577e-002	-2.523e-002	1.7166e-003	
8045	-4.1579e-002	-2.5291e-002	-2.5346e-006	
8046	-4.1577e-002	-2.5233e-002	1.7185e-003	
8049	-4.3583e-002	-2.5333e-002	-2.5442e-006	
8050	-4.3578e-002	-2.5275e-002	1.7227e-003	
8053	-4.5586e-002	-2.5391e-002	-2.558e-006	
8054	-4.5581e-002	-2.5332e-002	1.7277e-003	
8057	-4.759e-002	-2.5441e-002	-2.5688e-006	
8058	-4.7586e-002	-2.5382e-002	1.7324e-003	
8061	-4.9594e-002	-2.5463e-002	-2.5685e-006	
8062	-4.9593e-002	-2.5404e-002	1.7355e-003	
8065	-5.1598e-002	-2.5455e-002	-2.5568e-006	
8066	-5.1599e-002	-2.5396e-002	1.737e-003	
8069	-5.3602e-002	-2.5429e-002	-2.5415e-006	
8070	-5.3604e-002	-2.537e-002	1.7376e-003	
8073	-5.5606e-002	-2.5398e-002	-2.5306e-006	
8074	-5.5608e-002	-2.5339e-002	1.7379e-003	
8077	-5.761e-002	-2.5374e-002	-2.5223e-006	
8078	-5.7611e-002	-2.5314e-002	1.7387e-003	
8081	-5.9614e-002	-2.5366e-002	-2.5207e-006	
8082	-5.9614e-002	-2.5307e-002	1.7404e-003	
8085	-6.1618e-002	-2.5373e-002	-2.5248e-006	
8086	-6.1617e-002	-2.5314e-002	1.743e-003	
8089	-6.3622e-002	-2.5388e-002	-2.532e-006	
8090	-6.3621e-002	-2.5329e-002	1.746e-003	
8093	-6.5627e-002	-2.5405e-002	-2.5397e-006	
8094	-6.5625e-002	-2.5345e-002	1.7491e-003	
8097	-6.7631e-002	-2.5416e-002	-2.5454e-006	
8098	-6.763e-002	-2.5356e-002	1.752e-003	
8101	-6.9635e-002	-2.5418e-002	-2.5473e-006	
8102	-6.9635e-002	-2.5358e-002	1.7544e-003	
8105	-7.1639e-002	-2.5413e-002	-2.5466e-006	
8106	-7.1639e-002	-2.5352e-002	1.7565e-003	
8109	-7.3643e-002	-2.5404e-002	-2.5445e-006	
8110	-7.3643e-002	-2.5343e-002	1.7585e-003	
8113	-7.5647e-002	-2.5395e-002	-2.5425e-006	
8114	-7.5647e-002	-2.5335e-002	1.7605e-003	
8117	-7.7652e-002	-2.5391e-002	-2.5419e-006	
8118	-7.7651e-002	-2.533e-002	1.7627e-003	
8121	-7.9656e-002	-2.5391e-002	-2.5433e-006	
8122	-7.9655e-002	-2.533e-002	1.7653e-003	
8125	-8.166e-002	-2.5395e-002	-2.5108e-006	
8126	-8.166e-002	-2.5333e-002	1.7681e-003	
8129	-8.3664e-002	-2.54e-002	-2.4127e-006	
8130	-8.3664e-002	-2.5338e-002	1.7711e-003	
8133	-8.5668e-002	-2.5404e-002	-2.3142e-006	
8134	-8.5668e-002	-2.5342e-002	1.774e-003	
8137	-8.7672e-002	-2.5405e-002	-2.2148e-006	
8138	-8.7672e-002	-2.5344e-002	1.7769e-003	
8141	-8.9677e-002	-2.5404e-002	-2.1143e-006	
8142	-8.9677e-002	-2.5342e-002	1.7797e-003	
8145	-9.1681e-002	-2.5401e-002	-2.0132e-006	
8146	-9.1681e-002	-2.5339e-002	1.7824e-003	
8149	-9.3685e-002	-2.5398e-002	-1.912e-006	
8150	-9.3685e-002	-2.5336e-002	1.7852e-003	
8153	-9.5689e-002	-2.5397e-002	-1.8114e-006	
8154	-9.5689e-002	-2.5334e-002	1.7881e-003	
8157	-9.7693e-002	-2.5397e-002	-1.7115e-006	
8158	-9.7693e-002	-2.5335e-002	1.7911e-003	
8161	-9.9697e-002	-2.54e-002	-1.6123e-006	
8162	-9.9697e-002	-2.5337e-002	1.7942e-003	
8165	-0.1017	-2.5402e-002	-1.513e-006	
8166	-0.1017	-2.5339e-002	1.7974e-003	
8169	-0.10371	-2.5402e-002	-1.413e-006	
8170	-0.10371	-2.5339e-002	1.8005e-003	
8173	-0.10571	-2.5336e-002	1.8036e-003	
8175	5.71e-002	-1.3702e-002	1.9615e-003	
8176	5.5096e-002	-1.3685e-002	1.9653e-003	
8179	5.3092e-002	-1.3675e-002	1.9698e-003	
8181	5.1088e-002	-1.3663e-002	1.9744e-003	
8183	4.9084e-002	-1.3642e-002	1.9782e-003	
8185	4.7081e-002	-1.3602e-002	1.9804e-003	
8187	4.5079e-002	-1.3539e-002	1.9804e-003	
8189	4.3078e-002	-1.3456e-002	1.9788e-003	
8191	4.1077e-002	-1.3358e-002	1.9759e-003	
8193	3.9078e-002	-1.3247e-002	1.9725e-003	
8195	3.7079e-002	-1.3128e-002	1.9688e-003	
8197	3.5081e-002	-1.2998e-002	1.9647e-003	
8199	3.3087e-002	-1.2849e-002	1.9596e-003	
8201	3.1096e-002	-1.2671e-002	1.9527e-003	
8203	2.9111e-002	-1.2456e-002	1.9434e-003	
8205	2.7134e-002	-1.2194e-002	1.9314e-003	
8207	2.5163e-002	-1.1892e-002	1.9174e-003	
8209	2.3196e-002	-1.156e-002	1.9031e-003	
8211	2.1231e-002	-1.1211e-002	1.8899e-003	
8213	1.9264e-002	-1.0859e-002	1.879e-003	
8215	1.7297e-002	-1.0511e-002	1.8713e-003	
8217	1.5338e-002	-1.0155e-002	1.8657e-003	
8219	1.3395e-002	-9.7621e-003	1.8609e-003	
8221	1.1477e-002	-9.308e-003	1.8565e-003	
8223	9.5925e-003	-8.7702e-003	1.8525e-003	
8225	7.7326e-003	-8.1341e-003	1.8523e-003	
8227	5.8553e-003	-7.4498e-003	1.8692e-003	
8229	3.9081e-003	-6.8054e-003	1.9106e-003	
8231	1.8399e-003	-6.3308e-003	1.9658e-003	
8233	-3.501e-004	-6.2434e-003	1.9891e-003	
8235	-2.5001e-003	-6.713e-003	1.9511e-003	
8237	-4.4548e-003	-7.587e-003	1.9053e-003	
8239	-6.2116e-003	-8.6889e-003	1.8976e-003	
8241	-7.8084e-003	-9.9249e-003	1.9346e-003	
8243	-9.2821e-003	-1.1248e-002	2.0088e-003	
8245	-1.066e-002	-1.2631e-002	2.1109e-003	
8247	-1.1971e-002	-1.405e-002	2.2325e-003	
8249	-1.3248e-002	-1.5483e-002	2.3662e-003	
8251	-1.4514e-002	-1.6918e-002	2.5072e-003	
8253	-1.5796e-002	-1.8339e-002	2.6524e-003	
8255	-1.7118e-002	-1.9731e-002	2.7993e-003	
8257	-1.8515e-002	-2.1068e-002	2.9453e-003	
8259	-2.0035e-002	-2.2304e-002	3.0863e-003	
8261	-2.1715e-002	-2.3374e-002	3.2149e-003	
8263	-2.3547e-002	-2.4227e-002	3.3224e-003	
8265	-2.5495e-002	-2.483e-002	3.4017e-003	
8267	-2.7508e-002	-2.5191e-002	3.4506e-003	
8269	-2.9539e-002	-2.5355e-002	3.4742e-003	
8271	-3.1567e-002	-2.538e-002	3.4801e-003	
8273	-3.3583e-002	-2.5316e-002	3.475e-003	
8275	-3.5587e-002	-2.521e-002	3.465e-003	
8277	-3.7584e-002	-2.5107e-002	3.4557e-003	
8279	-3.9577e-002	-2.5051e-002	3.452e-003	
8281	-4.1573e-002	-2.5054e-002	3.4552e-003	
8283	-4.3573e-002	-2.5095e-002	3.4631e-003	
8285	-4.5575e-002	-2.5152e-002	3.4729e-003	
8287	-4.7582e-002	-2.5202e-002	3.4819e-003	
8289	-4.9591e-002	-2.5223e-002	3.4877e-003	
8291	-5.1599e-002	-2.5214e-002	3.4901e-003	
8293	-5.3604e-002	-2.5188e-002	3.4905e-003	
8295	-5.5608e-002	-2.5157e-002	3.4904e-003	
8297	-5.761e-002	-2.5132e-002	3.4912e-003	
8299	-5.9613e-002	-2.5125e-002	3.494e-003	
8301	-6.1616e-002	-2.5131e-002	3.4985e-003	
8303	-6.3619e-002	-2.5146e-002	3.5039e-003	
8305	-6.5624e-002	-2.5161e-002	3.5096e-003	
8307	-6.7629e-002	-2.5172e-002	3.5147e-003	
8309	-6.9634e-002	-2.5173e-002	3.5189e-003	
8311	-7.1639e-002	-2.5167e-002	3.5224e-003	
8313	-7.3643e-002	-2.5158e-002	3.5255e-003	
8315	-7.5647e-002	-2.5149e-002	3.5288e-003	
8317	-7.7651e-002	-2.5144e-002	3.5326e-003	
8319	-7.9655e-002	-2.5144e-002	3.5369e-003	
8321	-8.1659e-002	-2.5147e-002	3.5418e-003	
8323	-8.3663e-002	-2.5151e-002	3.5469e-003	
8325	-8.5667e-002	-2.5154e-002	3.552e-003	
8327	-8.7672e-002	-2.5155e-002	3.5569e-003	
8329	-8.9676e-002	-2.5153e-002	3.5615e-003	
8331	-9.168e-002	-2.515e-002	3.5661e-003	
8333	-9.3685e-002	-2.5146e-002	3.5707e-003	
8335	-9.5689e-002	-2.5144e-002	3.5755e-003	
