Node Number	X Location (m)	Y Location (m)	Z Location (m)	
903	-1.4615e-002	5.3739e-003	-2.3159e-002	
905	-1.612e-002	5.6808e-003	-2.4901e-002	
907	-1.7704e-002	5.9881e-003	-2.66e-002	
909	-1.944e-002	6.2902e-003	-2.8213e-002	
911	-2.1424e-002	6.5707e-003	-2.9641e-002	
913	-2.3676e-002	6.803e-003	-3.0769e-002	
915	-2.6129e-002	6.9622e-003	-3.1512e-002	
917	-2.8668e-002	7.0445e-003	-3.188e-002	
919	-3.121e-002	7.0697e-003	-3.1974e-002	
921	-3.3724e-002	7.0614e-003	-3.1903e-002	
923	-3.6208e-002	7.0403e-003	-3.1766e-002	
925	-3.8673e-002	7.0246e-003	-3.1655e-002	
927	-4.1137e-002	7.0266e-003	-3.1634e-002	
929	-4.3609e-002	7.042e-003	-3.1683e-002	
931	-4.6092e-002	7.0623e-003	-3.1755e-002	
933	-4.8583e-002	7.0786e-003	-3.1806e-002	
935	-5.1075e-002	7.0853e-003	-3.1807e-002	
937	-5.3563e-002	7.0858e-003	-3.1773e-002	
939	-5.6045e-002	7.0847e-003	-3.1731e-002	
941	-5.8524e-002	7.0869e-003	-3.1704e-002	
943	-6.1004e-002	7.0943e-003	-3.1704e-002	
945	-6.3486e-002	7.1049e-003	-3.1721e-002	
947	-6.597e-002	7.1163e-003	-3.1741e-002	
949	-6.8456e-002	7.126e-003	-3.1751e-002	
951	-7.0941e-002	7.1331e-003	-3.1747e-002	
953	-7.3425e-002	7.1391e-003	-3.1735e-002	
955	-7.5908e-002	7.145e-003	-3.1722e-002	
957	-7.8391e-002	7.1523e-003	-3.1716e-002	
959	-8.0874e-002	7.161e-003	-3.1716e-002	
961	-8.3357e-002	7.1705e-003	-3.172e-002	
963	-8.5841e-002	7.18e-003	-3.1723e-002	
965	-8.8325e-002	7.1889e-003	-3.1722e-002	
967	-9.0809e-002	7.1973e-003	-3.1717e-002	
969	-9.3292e-002	7.2057e-003	-3.1712e-002	
971	-9.5776e-002	7.2146e-003	-3.1708e-002	
973	-9.8259e-002	7.2245e-003	-3.1709e-002	
975	-0.10074	7.2346e-003	-3.171e-002	
977	-0.10323	7.2437e-003	-3.1705e-002	
979	-0.10571	7.2508e-003	-3.1688e-002	
1121	5.71e-002	5.5934e-003	-1.8105e-002	
1123	5.4616e-002	5.6008e-003	-1.8089e-002	
1125	5.2133e-002	5.6095e-003	-1.8075e-002	
1127	4.965e-002	5.6169e-003	-1.8055e-002	
1129	4.7168e-002	5.6187e-003	-1.8011e-002	
1131	4.4689e-002	5.6126e-003	-1.7931e-002	
1133	4.2211e-002	5.6e-003	-1.7822e-002	
1135	3.9734e-002	5.5833e-003	-1.7692e-002	
1137	3.7258e-002	5.5644e-003	-1.7549e-002	
1139	3.4786e-002	5.5435e-003	-1.7392e-002	
1141	3.2319e-002	5.5168e-003	-1.7205e-002	
1143	2.9863e-002	5.4806e-003	-1.6969e-002	
1145	2.742e-002	5.4317e-003	-1.6666e-002	
1147	2.4989e-002	5.3711e-003	-1.6298e-002	
1149	2.2561e-002	5.3048e-003	-1.5887e-002	
1151	2.0132e-002	5.2385e-003	-1.5457e-002	
1153	1.77e-002	5.1781e-003	-1.503e-002	
1155	1.5283e-002	5.1217e-003	-1.4599e-002	
1157	1.2905e-002	5.0608e-003	-1.4114e-002	
1159	1.0583e-002	4.9889e-003	-1.3532e-002	
1161	8.3058e-003	4.9001e-003	-1.2809e-002	
1163	5.9801e-003	4.8106e-003	-1.1973e-002	
1165	3.4577e-003	4.7521e-003	-1.1195e-002	
1167	6.3395e-004	4.7445e-003	-1.0835e-002	
1169	-2.2348e-003	4.814e-003	-1.1409e-002	
1171	-4.7095e-003	4.977e-003	-1.27e-002	
1173	-6.7787e-003	5.2243e-003	-1.425e-002	
1175	-8.5827e-003	5.5371e-003	-1.5894e-002	
1177	-1.0213e-002	5.8955e-003	-1.7585e-002	
1179	-1.173e-002	6.2834e-003	-1.9297e-002	
1181	-1.3189e-002	6.6879e-003	-2.101e-002	
1183	-1.4637e-002	7.1015e-003	-2.2716e-002	
1185	-1.6114e-002	7.5195e-003	-2.4402e-002	
1187	-1.7672e-002	7.9379e-003	-2.6051e-002	
1189	-1.9388e-002	8.3504e-003	-2.7627e-002	
1191	-2.1362e-002	8.7346e-003	-2.9037e-002	
1193	-2.362e-002	9.053e-003	-3.016e-002	
1195	-2.609e-002	9.2706e-003	-3.0902e-002	
1197	-2.8648e-002	9.3821e-003	-3.127e-002	
1199	-3.1204e-002	9.4151e-003	-3.1363e-002	
1201	-3.3725e-002	9.4021e-003	-3.1293e-002	
1203	-3.621e-002	9.3716e-003	-3.1158e-002	
1205	-3.8672e-002	9.3485e-003	-3.1048e-002	
1207	-4.1131e-002	9.3494e-003	-3.1027e-002	
1209	-4.3602e-002	9.3687e-003	-3.1074e-002	
1211	-4.6084e-002	9.3946e-003	-3.1145e-002	
1213	-4.8577e-002	9.415e-003	-3.1195e-002	
1215	-5.1072e-002	9.4223e-003	-3.1194e-002	
1217	-5.3561e-002	9.4209e-003	-3.116e-002	
1219	-5.6043e-002	9.4174e-003	-3.1118e-002	
1221	-5.8521e-002	9.4182e-003	-3.1091e-002	
1223	-6.1001e-002	9.4262e-003	-3.1091e-002	
1225	-6.3483e-002	9.4387e-003	-3.1107e-002	
1227	-6.5967e-002	9.4521e-003	-3.1125e-002	
1229	-6.8453e-002	9.4631e-003	-3.1134e-002	
1231	-7.0938e-002	9.4706e-003	-3.1129e-002	
1233	-7.3423e-002	9.4764e-003	-3.1117e-002	
1235	-7.5906e-002	9.4821e-003	-3.1104e-002	
1237	-7.8389e-002	9.4896e-003	-3.1096e-002	
1239	-8.0872e-002	9.4991e-003	-3.1096e-002	
1241	-8.3356e-002	9.5096e-003	-3.1099e-002	
1243	-8.584e-002	9.5201e-003	-3.1101e-002	
1245	-8.8324e-002	9.5297e-003	-3.1099e-002	
1247	-9.0808e-002	9.5385e-003	-3.1093e-002	
1249	-9.3291e-002	9.5473e-003	-3.1087e-002	
1251	-9.5775e-002	9.5569e-003	-3.1082e-002	
1253	-9.8259e-002	9.5676e-003	-3.1082e-002	
1255	-0.10074	9.5786e-003	-3.1082e-002	
1257	-0.10323	9.5883e-003	-3.1076e-002	
1259	-0.10571	9.595e-003	-3.1058e-002	
1401	5.71e-002	6.9283e-003	-1.7636e-002	
1403	5.4616e-002	6.9349e-003	-1.762e-002	
1405	5.2132e-002	6.9427e-003	-1.7606e-002	
1407	4.9649e-002	6.9486e-003	-1.7586e-002	
1409	4.7168e-002	6.9472e-003	-1.7541e-002	
1411	4.4688e-002	6.9352e-003	-1.7462e-002	
1413	4.2211e-002	6.9147e-003	-1.7354e-002	
1415	3.9734e-002	6.8884e-003	-1.7226e-002	
1417	3.7259e-002	6.8591e-003	-1.7084e-002	
1419	3.4787e-002	6.8267e-003	-1.693e-002	
1421	3.2321e-002	6.7864e-003	-1.6745e-002	
1423	2.9867e-002	6.7332e-003	-1.6512e-002	
1425	2.7427e-002	6.6625e-003	-1.6214e-002	
1427	2.4999e-002	6.5756e-003	-1.5852e-002	
1429	2.2574e-002	6.4799e-003	-1.5447e-002	
1431	2.0146e-002	6.3829e-003	-1.5023e-002	
1433	1.7716e-002	6.2921e-003	-1.4602e-002	
1435	1.5303e-002	6.2055e-003	-1.4176e-002	
1437	1.2933e-002	6.1115e-003	-1.3698e-002	
1439	1.0623e-002	6.001e-003	-1.3126e-002	
